iter	Passed	Remaining
386	15719	24899
387	15760	24859
388	15796	24810
389	15832	24764
390	15868	24716
391	15902	24664
392	15936	24613
393	15972	24567
394	16010	24522
395	16047	24475
396	16081	24425
397	16114	24374
398	16150	24326
399	16183	24275
400	16218	24226
401	16256	24182
402	16294	24138
403	16341	24107
404	16400	24094
405	16442	24056
406	16480	24011
407	16517	23966
408	16551	23916
409	16587	23869
410	16620	23818
411	16654	23769
412	16691	23723
413	16733	23685
414	16782	23656
415	16826	23621
416	16863	23576
417	16899	23530
418	16936	23484
419	16974	23440
420	17017	23404
421	17054	23358
422	17088	23309
423	17124	23263
424	17159	23215
425	17202	23179
426	17243	23139
427	17285	23100
428	17321	23054
429	17364	23017
430	17409	22984
431	17468	22967
432	17513	22932
433	17547	22884
434	17583	22838
435	17621	22795
436	17658	22750
437	17702	22714
438	17740	22670
439	17775	22623
440	17812	22578
441	17849	22533
442	17884	22487
443	17920	22441
444	17960	22400
445	18000	22359
446	18033	22310
447	18067	22262
448	18103	22215
449	18140	22171
450	18174	22123
451	18209	22076
452	18250	22037
453	18286	21992
454	18320	21944
455	18357	21899
456	18392	21854
457	18426	21805
458	18465	21764
459	18523	21745
460	18576	21719
461	18619	21682
462	18656	21638
463	18703	21605
464	18746	21568
465	18789	21531
466	18831	21492
467	18873	21454
468	18913	21414
469	18951	21370
470	18991	21330
471	19031	21289
472	19068	21245
473	19104	21199
474	19140	21155
475	19175	21108
476	19213	21066
477	19256	21029
478	19294	20986
479	19331	20942
480	19378	20909
481	19433	20884
482	19479	20850
483	19524	20815
484	19581	20792
485	19649	20781
486	19693	20744
487	19732	20703
488	19779	20669
489	19845	20655
490	19888	20617
491	19923	20571
492	19962	20529
493	20007	20493
494	20050	20455
495	20090	20414
496	20129	20372
497	20165	20327
498	20202	20283
499	20243	20243
500	20280	20199
501	20315	20154
502	20354	20111
503	20388	20064
504	20424	20020
505	20459	19974
506	20501	19935
507	20549	19901
508	20599	19871
509	20683	19871
510	20744	19850
511	20781	19806
512	20825	19769
513	20866	19730
514	20907	19690
515	20954	19655
516	21000	19619
517	21038	19575
518	21077	19534
519	21117	19493
520	21155	19450
521	21194	19407
522	21238	19370
523	21286	19336
524	21322	19291
525	21370	19257
526	21407	19213
527	21451	19175
528	21493	19137
529	21530	19093
530	21566	19048
531	21602	19003
532	21640	18960
533	21682	18921
534	21733	18890
535	21793	18866
536	21838	18828
537	21873	18783
538	21913	18742
539	21949	18697
540	21987	18655
541	22027	18613
542	22064	18569
543	22101	18526
544	22139	18483
545	22178	18441
546	22217	18399
547	22268	18367
548	22311	18328
549	22347	18283
550	22383	18239
551	22419	18195
552	22456	18151
553	22494	18109
554	22531	18065
555	22568	18022
556	22606	17979
557	22659	17949
558	22708	17914
559	22756	17880
560	22803	17844
561	22859	17815
562	22908	17781
563	22944	17737
564	22985	17697
565	23021	17652
566	23063	17612
567	23103	17571
568	23141	17528
569	23177	17484
570	23218	17444
571	23261	17405
572	23312	17372
573	23359	17336
574	23415	17307
575	23459	17268
576	23502	17229
577	23538	17185
578	23571	17139
579	23610	17096
580	23649	17055
581	23693	17016
582	23738	16979
583	23774	16935
584	23814	16894
585	23852	16851
586	23900	16815
587	23962	16789
588	24003	16749
589	24041	16706
590	24078	16663
591	24118	16622
592	24155	16579
593	24196	16538
594	24237	16498
595	24275	16454
596	24327	16421
597	24372	16384
598	24416	16345
599	24458	16305
600	24506	16269
601	24543	16226
602	24581	16183
603	24629	16147
604	24682	16115
605	24722	16073
606	24762	16032
607	24799	15989
608	24836	15945
609	24873	15902
610	24908	15858
611	24953	15820
612	25017	15793
613	25062	15756
614	25101	15714
615	25140	15671
616	25178	15629
617	25217	15587
618	25254	15544
619	25293	15502
620	25336	15463
621	25372	15419
622	25408	15375
623	25445	15332
624	25486	15291
625	25526	15250
626	25565	15208
627	25604	15167
628	25646	15127
629	25688	15087
630	25734	15049
631	25773	15007
632	25812	14965
633	25850	14923
634	25888	14880
635	25924	14837
636	25962	14794
637	26002	14753
638	26057	14720
639	26111	14687
640	26157	14649
641	26195	14607
642	26236	14566
643	26275	14524
644	26313	14482
645	26356	14442
646	26395	14401
647	26433	14359
648	26472	14317
649	26512	14275
650	26568	14243
651	26618	14207
652	26674	14174
653	26732	14143
654	26838	14136
655	26883	14097
656	26926	14057
657	26977	14021
658	27027	13985
659	27073	13947
660	27130	13914
661	27200	13887
662	27256	13854
663	27298	13813
664	27334	13770
665	27385	13733
666	27423	13691
667	27459	13647
668	27504	13608
669	27543	13566
670	27590	13528
671	27640	13491
672	27691	13454
673	27740	13417
674	27788	13379
675	27835	13341
676	27883	13303
677	27931	13265
678	27984	13229
679	28034	13192
680	28087	13156
681	28133	13118
682	28173	13075
683	28240	13046
684	28304	13016
685	28356	12979
686	28411	12944
687	28469	12910
688	28525	12875
689	28581	12840
690	28642	12808
691	28697	12772
692	28750	12736
693	28796	12696
694	28858	12664
695	28916	12630
696	28969	12593
697	29015	12553
698	29064	12515
699	29112	12476
700	29162	12438
701	29199	12395
702	29240	12353
703	29319	12327
704	29437	12317
705	29499	12284
706	29586	12261
707	29639	12224
708	29696	12188
709	29760	12155
710	29811	12117
711	29861	12078
712	29951	12056
713	30007	12019
714	30084	11991
715	30135	11953
716	30181	11912
717	30234	11874
718	30286	11836
719	30349	11802
720	30411	11768
721	30481	11736
722	30534	11698
723	30584	11659
724	30631	11618
725	30679	11578
726	30729	11539
727	30779	11499
728	30823	11458
729	30871	11418
730	30917	11377
731	30971	11339
732	31024	11300
733	31074	11261
734	31122	11220
735	31171	11180
736	31220	11141
737	31271	11101
738	31318	11061
739	31364	11019
740	31411	10979
741	31478	10945
742	31544	10911
743	31591	10870
744	31640	10829
745	31691	10790
746	31743	10751
747	31794	10711
748	31844	10671
749	31909	10636
750	31962	10597
751	32020	10560
752	32065	10518
753	32118	10478
754	32183	10443
755	32260	10412
756	32314	10373
757	32399	10343
758	32462	10307
759	32532	10273
760	32608	10241
761	32657	10200
762	32693	10155
763	32733	10111
764	32771	10067
765	32810	10023
766	32848	9978
767	32884	9933
768	32919	9888
769	32958	9844
770	32997	9800
771	33033	9755
772	33072	9712
773	33110	9668
774	33147	9623
775	33185	9579
776	33226	9536
777	33265	9492
778	33301	9447
779	33339	9403
780	33374	9358
781	33411	9314
782	33450	9270
783	33488	9226
784	33525	9182
785	33564	9138
786	33619	9099
787	33677	9060
788	33731	9020
789	33769	8976
790	33807	8932
791	33843	8888
792	33881	8844
793	33929	8802
794	33979	8762
795	34021	8719
796	34061	8675
797	34100	8631
798	34137	8587
799	34175	8543
800	34216	8500
801	34255	8457
802	34293	8413
803	34332	8369
804	34369	8325
805	34404	8281
806	34442	8237
807	34482	8193
808	34521	8150
809	34558	8106
810	34597	8062
811	34634	8018
812	34681	7977
813	34741	7938
814	34793	7897
815	34830	7853
816	34868	7810
817	34905	7766
818	34948	7723
819	34988	7680
820	35028	7637
821	35068	7593
822	35106	7550
823	35150	7507
824	35195	7465
825	35237	7422
826	35285	7381
827	35343	7341
828	35395	7301
829	35457	7262
830	35513	7222
831	35562	7180
832	35628	7142
833	35679	7101
834	35720	7058
835	35769	7017
836	35822	6976
837	35870	6934
838	35907	6890
839	35942	6846
840	35980	6802
841	36018	6758
842	36056	6715
843	36093	6671
844	36129	6627
845	36166	6583
846	36206	6540
847	36244	6496
848	36283	6453
849	36326	6410
850	36382	6370
851	36436	6329
852	36491	6288
853	36550	6248
854	36602	6207
855	36658	6166
856	36720	6127
857	36784	6087
858	36844	6047
859	36937	6013
860	36982	5970
861	37017	5926
862	37051	5881
863	37092	5838
864	37130	5794
865	37165	5750
866	37205	5707
867	37244	5663
868	37283	5620
869	37318	5576
870	37355	5532
871	37389	5488
872	37427	5444
873	37468	5401
874	37507	5358
875	37544	5314
876	37599	5273
877	37644	5230
878	37682	5187
879	37725	5144
880	37771	5101
881	37814	5059
882	37850	5015
883	37886	4971
884	37927	4928
885	38000	4889
886	38050	4847
887	38092	4804
888	38135	4761
889	38178	4718
890	38219	4675
891	38256	4631
892	38291	4588
893	38327	4544
894	38364	4500
895	38400	4457
896	38435	4413
897	38475	4370
898	38514	4326
899	38550	4283
900	38588	4240
901	38628	4196
902	38666	4153
903	38706	4110
904	38745	4067
905	38780	4023
906	38815	3980
907	38851	3936
908	38886	3892
909	38924	3849
910	38963	3806
911	39003	3763
912	39063	3722
913	39119	3680
914	39155	3637
915	39196	3594
916	39235	3551
917	39272	3508
918	39311	3464
919	39350	3421
920	39387	3378
921	39424	3335
922	39464	3292
923	39502	3249
924	39541	3206
925	39580	3163
926	39616	3119
927	39659	3077
928	39698	3034
929	39737	2990
930	39774	2947
931	39810	2904
932	39846	2861
933	39881	2818
934	39916	2774
935	39957	2732
936	39993	2688
937	40029	2645
938	40065	2602
939	40111	2560
940	40170	2518
941	40221	2476
942	40259	2433
943	40293	2390
944	40328	2347
945	40364	2304
946	40399	2261
947	40439	2218
948	40474	2175
949	40511	2132
950	40547	2089
951	40585	2046
952	40623	2003
953	40661	1960
954	40734	1919
955	40781	1876
956	40815	1833
957	40851	1790
958	40887	1748
959	40922	1705
960	40962	1662
961	41000	1619
962	41038	1576
963	41075	1533
964	41111	1491
965	41149	1448
966	41203	1406
967	41262	1364
968	41309	1321
969	41345	1278
970	41420	1237
971	41461	1194
972	41499	1151
973	41535	1108
974	41573	1065
975	41609	1023
976	41647	980
977	41688	937
978	41726	895
979	41763	852
980	41800	809
981	41835	766
982	41873	724
983	41909	681
984	41953	638
985	41995	596
986	42070	554
987	42107	511
988	42144	468
989	42180	426
990	42220	383
991	42263	340
992	42313	298
993	42368	255
994	42409	213
995	42449	170
996	42488	127
997	42525	85
998	42560	42
999	42596	0
