iter	Logloss
0	0.6408121835
1	0.5987900893
2	0.5638346668
3	0.5354112641
4	0.5110928543
5	0.4905232787
6	0.4725572002
7	0.4579244055
8	0.4460189553
9	0.4351959948
10	0.426681707
11	0.4192863341
12	0.4132446678
13	0.4073960575
14	0.4020327052
15	0.3982835223
16	0.3944483182
17	0.3911471922
18	0.3884274734
19	0.3858543569
20	0.3839588466
21	0.3818261675
22	0.3797636109
23	0.3783201402
24	0.3767882177
25	0.3755441543
26	0.3742421574
27	0.3731539652
28	0.372138519
29	0.3710819899
30	0.3702073332
31	0.3693030213
32	0.3683438811
33	0.3673871587
34	0.3666056086
35	0.3659791983
36	0.3653074448
37	0.3647763222
38	0.3643171321
39	0.3639221553
40	0.363356172
41	0.3626797996
42	0.362292272
43	0.3618776206
44	0.3614440239
45	0.3610408195
46	0.3607067205
47	0.3603696609
48	0.3600041262
49	0.3595188631
50	0.3592624175
51	0.3589201172
52	0.3585623191
53	0.3582679712
54	0.3579355358
55	0.3575199987
56	0.3572617484
57	0.3569234657
58	0.3564903423
59	0.3560948884
60	0.3556456046
61	0.3552654308
62	0.3549525561
63	0.3547386707
64	0.3545147946
65	0.3542659301
66	0.3539610244
67	0.3536911295
68	0.3534503037
69	0.3531373751
70	0.3529457654
71	0.3527521432
72	0.3523897369
73	0.3522049518
74	0.3520085573
75	0.351726136
76	0.3514596079
77	0.3512825648
78	0.3510414637
79	0.3508276189
80	0.3506353744
81	0.3504357025
82	0.3502144193
83	0.3500463296
84	0.3498585232
85	0.3496570909
86	0.3494972705
87	0.3493257003
88	0.3491403453
89	0.3490204289
90	0.3488113048
91	0.3485205289
92	0.3483526656
93	0.3482173842
94	0.3480804037
95	0.3479444329
96	0.3478213491
97	0.3476692606
98	0.347532755
99	0.3473748566
100	0.34715415
101	0.3469877536
102	0.3467927647
103	0.3467000758
104	0.3465973214
105	0.3464245366
106	0.3463279642
107	0.3461226712
108	0.3459526447
109	0.3457970535
110	0.3455772829
111	0.3454166714
112	0.3453156483
113	0.345214632
114	0.3450903776
115	0.3449105052
116	0.3447153482
117	0.3445312049
118	0.3444117226
119	0.3442370178
120	0.344059291
121	0.3439039394
122	0.3436943124
123	0.3436068345
124	0.3433890327
125	0.3432225004
126	0.3430372794
127	0.3429175139
128	0.342760024
129	0.3426360212
130	0.3424951368
131	0.3423413567
132	0.3421078185
133	0.3419543652
134	0.341844043
135	0.3417240021
136	0.3415599405
137	0.3413696745
138	0.3412542723
139	0.34107073
140	0.340942881
141	0.3407532106
142	0.3406476334
143	0.3405267301
144	0.3403593336
145	0.3402211393
146	0.3401024532
147	0.340028499
148	0.3397910931
149	0.3396509315
150	0.3394555018
151	0.3393300357
152	0.3391926356
153	0.3390367696
154	0.3389271654
155	0.3388153543
156	0.338630627
157	0.3384151557
158	0.3382428902
159	0.3381474192
160	0.3379929077
161	0.3378498035
162	0.3377176756
163	0.3376014475
164	0.337464878
165	0.3372896326
166	0.3371693683
167	0.3370369276
168	0.3369236906
169	0.3367350431
170	0.3365897098
171	0.3364679552
172	0.3363536671
173	0.3361935616
174	0.3360808126
175	0.3359335602
176	0.3357776701
177	0.3356471514
178	0.3354691817
179	0.3352839214
180	0.3351210291
181	0.3350093087
182	0.3348592541
183	0.3347040168
184	0.334550333
185	0.3344206796
186	0.3342651757
187	0.3341200229
188	0.3339992262
189	0.3338267128
190	0.3336830397
191	0.3334939174
192	0.3333858019
193	0.3332642761
194	0.3330995702
195	0.3329671237
196	0.3328388118
197	0.3327331341
198	0.3326391356
199	0.3325291285
200	0.3323357998
201	0.3321689516
202	0.3320488403
203	0.3319036523
204	0.3318092655
205	0.3316578457
206	0.3314975025
207	0.3313203209
208	0.3311784463
209	0.3310545672
210	0.3309130142
211	0.3307707532
212	0.3306132859
213	0.3304356522
214	0.3303009715
215	0.3302014834
216	0.3300845487
217	0.3299481188
218	0.3298094397
219	0.3297191093
220	0.3295961349
221	0.3294208647
222	0.3293313035
223	0.329243411
224	0.3290824179
225	0.3289868453
226	0.328902305
227	0.3287804794
228	0.3286791704
229	0.3285772817
230	0.3284226161
231	0.3282952719
232	0.3281401736
233	0.3280513105
234	0.3279400851
235	0.3277872531
236	0.3276770592
237	0.3275491771
238	0.3274263871
239	0.3273039156
240	0.3271643295
241	0.3270766095
242	0.3269634077
243	0.3268396306
244	0.3266976842
245	0.3266028913
246	0.326511209
247	0.3263746914
248	0.3262396032
249	0.3261385259
250	0.3260368263
251	0.3258849427
252	0.3257849933
253	0.3256845955
254	0.3255621287
255	0.3254429554
256	0.3253153949
257	0.3252133982
258	0.3250903472
259	0.3249659448
260	0.3248553651
261	0.3247932797
262	0.3247106525
263	0.3245606082
264	0.3244464417
265	0.3243646654
266	0.3242559698
267	0.3241361311
268	0.3240242279
269	0.3239217575
270	0.3238197995
271	0.3237248423
272	0.3236369916
273	0.323493017
274	0.3233734123
275	0.3232708432
276	0.3231670258
277	0.3230903778
278	0.322986738
279	0.3228845709
280	0.3227908267
281	0.322700598
282	0.3225876885
283	0.3224776207
284	0.3223945142
285	0.3223011763
286	0.3222122371
287	0.3221064674
288	0.3219859587
289	0.3218684942
290	0.3217358981
291	0.3216327804
292	0.3215288259
293	0.3214225558
294	0.3213006996
295	0.3211566167
296	0.3210241677
297	0.3208828642
298	0.3207651679
299	0.3206602897
300	0.3205693069
301	0.3204395467
302	0.3203127498
303	0.3202004358
304	0.3200989057
305	0.3200210219
306	0.3198994402
307	0.319818662
308	0.3197306999
309	0.3196180717
310	0.3195258845
311	0.3194257609
312	0.3193607706
313	0.3192314169
314	0.319135786
315	0.3190021875
316	0.3189090191
317	0.318801252
318	0.3187038203
319	0.318627392
320	0.3185160505
321	0.3184276016
322	0.3183233175
323	0.3182428966
324	0.3181348755
325	0.3180326032
326	0.3179242373
327	0.3178320302
328	0.3177571066
329	0.3176590498
330	0.3175546085
331	0.3174754292
332	0.3173867951
333	0.317288711
334	0.3172072012
335	0.3171203692
336	0.3170271542
337	0.3169009615
338	0.31680812
339	0.316710704
340	0.3166271129
341	0.3165173993
342	0.3163981214
343	0.3163042327
344	0.3162136559
345	0.3161253198
346	0.3160637814
347	0.3159561629
348	0.3158787471
349	0.3157768619
350	0.3157179432
351	0.3156188476
352	0.315560871
353	0.3154812393
354	0.3154119913
355	0.3153256585
356	0.3152434704
357	0.3151619451
358	0.3150769132
359	0.3149878732
360	0.3148635995
361	0.3147623892
362	0.314653525
363	0.3145815497
364	0.3145232023
365	0.3144677105
366	0.3143585927
367	0.3142752225
368	0.3141838023
369	0.3140818474
370	0.3140067606
371	0.3139379075
372	0.3138388394
373	0.3137564718
374	0.3136783858
375	0.3135792643
376	0.3135034553
377	0.3134157453
378	0.3133262699
379	0.3132224947
380	0.3131268465
381	0.3129937283
382	0.3129220329
383	0.3128291508
384	0.3127187882
385	0.3126244677
386	0.3125635931
387	0.3124752722
388	0.3124022396
389	0.3122933675
390	0.3122046544
391	0.3121493184
392	0.3120801323
393	0.3119925709
394	0.3119083966
395	0.311821587
396	0.3117396992
397	0.3116535956
398	0.3115549842
399	0.3114987915
400	0.3114348142
401	0.3113439714
402	0.3112404661
403	0.3111391125
404	0.3110507045
405	0.310982524
406	0.3109092399
407	0.3108275502
408	0.3107603121
409	0.3106554938
410	0.3105834145
411	0.3104904624
412	0.3104194163
413	0.3103285989
414	0.31023715
415	0.3101320994
416	0.310036251
417	0.3099689228
418	0.3098766782
419	0.3097980551
420	0.309742593
421	0.3096612676
422	0.3096008705
423	0.3095483351
424	0.3094819249
425	0.3094094293
426	0.3093164179
427	0.3092079915
428	0.3091088864
429	0.3090376645
430	0.3089489991
431	0.3088813254
432	0.3088077422
433	0.3087382466
434	0.3086735607
435	0.3085905955
436	0.3084852567
437	0.3083874105
438	0.3083182708
439	0.3082484862
440	0.3081734328
441	0.3080996991
442	0.3080296806
443	0.3079403716
444	0.3078626504
445	0.3077668067
446	0.3077035613
447	0.3076333064
448	0.3075338298
449	0.3074171707
450	0.3073306327
451	0.3072931195
452	0.3072127782
453	0.307139726
454	0.3070597458
455	0.3069774682
456	0.3068964725
457	0.3068454468
458	0.3067694167
459	0.3066967628
460	0.3066022303
461	0.30654338
462	0.3064658081
463	0.3063829582
464	0.3063136626
465	0.3062455684
466	0.3061637781
467	0.3060831705
468	0.306003259
469	0.3059088822
470	0.3058295692
471	0.3057757659
472	0.3056937011
473	0.3056002217
474	0.3055272887
475	0.3054441833
476	0.3053662288
477	0.305316393
478	0.305249254
479	0.3051689746
